code,name,mv_mean,amount_mean,profit,主营产品名称,主营产品类型,公司简介
002414.SZ,高德红外,5027481.927950557,432782.8972033195,1110939693.08,EasIR-4结实、快速检测红外热像仪、GUIDIR IR136制冷式高性能远程红外热像仪、GUIDIR IR300A制冷式多功能定位手持式红外热像仪、GUIDIR IR311D车载红外热像夜间驾驶仪、GUIDIR IR311S车载红外热像夜间驾驶仪、GUIDIR IR3137远程监控双视场红外热像仪、GUIDIR IR513S多功能手持红外热像仪、GUIDIR IR516小型手持红外热像仪、GUIDIR IR518手持式单目警用执法红外热像仪、GUIDIR IR519手持红外热像仪、GUIDIR IR528头盔式红外热像仪、GUIDIR IR529手持双目热像侦察仪、GUIDIR IR600超远距离探测红外热像仪、GUIDIR P变电站在线式红外监控系统、GUIDIRIR113非制冷机芯组件、GUIDIRIR116非制冷分离式机芯组件、GUIDIRIR118非制冷机芯组件、GUIDIRIR131制冷机芯组件、GUIDIRIR210高清晰度夜间红外监视热像仪、GUIDIRIR2137/ IR2150c远程监控双视场红外热像仪、GUIDIRIR2150/ IR2107远程监控红外热像仪、GUIDIRIR236智能型红外自动搜索测温系统/红外体温检测的领航者、GUIDIRIR320M/ IR320L连续变焦侦察红外热像仪、GUIDIRIR627- /IR256小型制冷红外热像仪、GUIDIRIR928+高性价比红外热像仪、MobIR M8高德第二代掌上红外热像仪、ThermoPro TP8S具备强大分析功能，高尖端专家级红外热像仪、ThermoPro TP8高尖端专家级红外热像仪、镜头和黑体、商用红外成像仪,电子测试和测量仪器,"公司是全球领先的红外热像仪专业研制厂商，在测温型红外热像仪里排名全球第四，是进入全球排名前五的唯一中国企业。公司积极开展红外光学、成像电路、图像处理、人工智能、机械结构及系统工程等方面的设计与研究，开发出数十款拥有完全知识产权的红外热像系统及高科技光电系统，各项技术居国内领先、国际先进水平。公司已顺利通过了ISO9001质量管理体系、GJB9001A质量管理体系等资质。并拥有“GuideIR”,“MobIR”，“ThermoPro”等驰名海外的注册商标。目前公司有数十多项国内、国际专利。产品广泛应用于电力、医疗、消防、公安、科研、建筑，交通夜视等领域，现已在全球多个国家和地区拥有经销商，并已在比利时开办了欧洲分公司。"
688099.SH,晶晨股份,4861783.80590164,336167.6385684647,811606706.2,AI音视频系统终端芯片、智能电视芯片、智能机顶盒芯片,半导体分立器件,晶晨半导体是全球无晶圆半导体系统设计的领导者，为智能机顶盒、智能电视、智能家居等多个产品领域，提供多媒体SoC芯片和系统级解决方案，技术先进性和市场覆盖率位居行业前列。同时积极布局智能影像、无线连接、汽车电子等新市场，助力开启AIoT新时代。晶晨半导体拥有丰富的SoC全流程设计经验，坚持超高清多媒体编解码和显示处理、人工智能、内容安全保护、系统IP等核心软硬件技术开发，整合业界领先的CPU/GPU技术和先进制程工艺，实现前所未有的成本、性能和功耗优化，提供基于多种开放平台的完整系统解决方案，帮助全球顶级运营商、OEM、ODM等客户快速部署市场。晶晨半导体创立于美国硅谷，目前在圣克拉拉、上海、深圳、北京、西安、成都、合肥、南京、青岛、台北、香港、首尔、孟买、伦敦、慕尼黑、印第安纳波利斯、米兰等地设有主体或代表处。
002008.SZ,大族激光,4683360.234051,946953.6013278009,1994492609.85,大族激光打标机、大族激光雕刻机、大族激光焊接机、大族激光激光制版及印刷设备、大族激光切割机、大族激光钻孔机、大族油墨喷码机,电子设备及加工,公司是中国激光装备行业的领军企业，也是世界知名的激光加工设备生产厂商，主要从事激光加工设备的研发、生产和销售。公司承担建设的主要科研项目被国家科技部火炬高新技术产业中心认定为“国家级火炬计划项目”。公司通过不断自主研发把“实验室装置”变成可以连续24小时稳定工作的激光技术装备，是世界上仅有的几家拥有“紫外激光专利”的公司之一。在强大的资本和技术平台支持下，公司实现了从小功率到大型高功率激光技术装备研发、生产的跨越发展，为国内外客户提供一整套激光加工解决方案及相关配套设施。公司还被评为深圳市高新技术企业，深圳市重点软件企业，广东省装备制造业重点企业，国家级创新型试点企业，国家科技成果推广示范基地重点推广示范企业，国家规划布局内重点软件企业，主要科研项目被认定为国家级火炬计划项目。
603019.SH,中科曙光,4324455.868598557,683680.367186722,1157781112.14,中科曙光技术服务、中科曙光软件开发、中科曙光系统集成,行业专用软件、系统集成服务、专业咨询服务,公司是在中国科学院大力推动下，以国家“863”计划重大科研成果为基础组建的国家高新技术企业。公司主要从事研究、开发、生产制造高性能计算机、通用服务器及存储产品，并围绕高端计算机提供软件开发、系统集成与技术服务。公司是国内高性能计算领域的领军企业。由曙光公司研发的“星云”高性能计算机在第35届全球超级计算机“TOP500”中以每秒系统峰值达三千万亿次(3PFlops)、每秒实测Linpack值达1.271千万亿次的速度，取得了全球第二的成绩，成为世界上第三台实测性能超千万亿次的超级计算机，再次向世界力证了“中国速度”。自成立以来，曙光公司始终倡导着“自主创新服务中国”的品牌理念，以全面、专业、增值的服务为广大中国用户提供良好的应用体验，曙光的硬件产品、解决方案、云计算服务已被广泛应用于政府、能源、互联网、教育、气象、医疗及公共事业等社会各个领域。
000066.SZ,中国长城,3986202.0081908526,838208.3167510374,597624297.17,长城CRT显示器、长城MP3、长城笔记本电脑、长城打印机、长城电脑摄像头、长城电源、长城台式电脑、长城投影仪、长城液晶显示器、长城移动闪存、长城移动硬盘、长城至翔服务器,存储设备、打印机、电脑外围设备、电脑整机、电子元器件、服务器与工作站、投影仪、显示设备、音响产品,公司是中国电子网络安全与信息化的专业子集团，核心业务覆盖自主可控关键基础设施及解决方案、军工电子、重要行业信息化等领域，能够做到从芯片、整机、操作系统、中间件、数据库、安全产品到应用系统等计算机信息技术各方面完全自主可控且产品线完整的上市公司。公司相关业务水平处于国内领先地位，掌握众多自主可控和信息安全的核心技术，在军队国防、党政等关键领域和重要行业具有深厚的行业理解、丰富的服务经验、稳定良好的合作关系。公司在中国深圳、长沙、武汉、北京、株洲以及海外设有研发中心和生产基地。
002405.SZ,四维图新,3551368.770998213,848968.646340249,122086376.97,POI信息查询、电子眼提示、公交查询、公交地铁换乘、行人导航、互联网地图服务、实时交通信息查询在线位置服务业务、手机导航在线位置服务业务、手机地图查询在线位置服务业务、手机和便携导航、四维图新导航地图、四维图新地图数据、物流监控在线位置服务业务、移动位置服务、自驾车查询,互联网服务,公司是中国领先的导航地图和动态交通信息服务提供商，由国家测绘局创建的唯一专业从事测绘的国家级公司。致力于为主流汽车制造厂商、汽车电子厂商、手机生产商、便携导航设备厂商、移动通信服务商和互联网平台提供专业化、高品质的导航电子地图产品和服务。公司是中国第一、全球第五大导航电子地图厂商，公司产品和服务充分满足了汽车导航、消费电子导航、互联网和移动互联网、政府及企业应用等各行所需。2017年，公司收购杰发科技，杰发科技作为国内汽车电子芯片行业主要代表企业之一，致力于以“中国芯”来促进中国汽车产业的发展由大变强，公司成为目前国内首家面向自动驾驶在高精度地图、算法、芯片几处关键节点布局的企业。
600160.SH,巨化股份,3486367.998551697,574103.2414522822,1109093339.47,巨化股份50%甲氨磷乳油、巨化股份氟制冷剂、巨化股份复合肥、巨化股份合成氨、巨化股份甲醇、巨化股份甲烷氯化物、巨化股份聚氯乙烯、巨化股份硫酸、巨化股份氯磺酸、巨化股份氯甲烷、巨化股份尿素、巨化股份脲醛树脂、巨化股份氢氟酸、巨化股份烧碱、巨化股份乌洛托品,氮肥、复合(混)肥、高分子聚合物、无机化工原料、有机化工原料、有机化学农药、制冷剂,公司是经浙江省人民政府批准，由巨化集团公司独家发起，采用募集方式设立的股份有限公司，是国内领先的氟化工、氯碱化工综合配套的氟化工制造业基地。公司形成液氯、氯仿、三氯乙烯、四氯乙烯、AHF为配套原料支撑的氟致冷剂、有机氟单体、氟聚合物完整的产业链。公司核心产业氟化工及其它主导产品在规模、技术上处于行业领先水平。“巨化”牌商标为中国驰名商标。公司氟产品系列、有机氯产品系列、硫酸系列获“浙江省名牌产品”。公司以“创造财富、服务社会”为宗旨，坚持“效益为先、开放发展、机制创新、战略导向、循环运行、以人为本”的发展理念，致力于打造国际氟化工的知名品牌，争做中国氟化工行业的领跑者。以业绩回报股东、回报社会，以实力营造明天。
603026.SH,石大胜华,3465278.1059016394,1390999.1577634856,1178405919.29,MTBE、环氧丙烷、混合芳烃、燃料油、液化气,成品油、高分子聚合物、液化气,公司是教育部直属全国重点大学，国家“211工程'重点建设高校--中国石油大学(华东)的校办企业，是以基本有机化工产品的生产、销售为主的国家重点高新技术企业。主要产品有碳酸二甲酯、碳酸丙烯酯、碳酸乙烯酯、碳酸甲乙酯等碳酸酯类产品，六氟磷酸锂，电解液特种添加剂和MTBE等产品。凭借独特的技术和质量优势，公司已成为国内外多家锂离子电池电解液生产厂家的高品质溶剂原料供应商，为推动新能源行业的发展贡献了智慧和力量。公司生产的MTBE作为高品质汽油添加剂，能很好地满足未来清洁能源的需求。公司自成立以来，先后获得山东省管理创新优秀企业，东营市市长质量奖、安全生产工作先进单位、外经贸工作先进企业等多项荣誉称号。公司秉承“引领绿色化工潮流，提升健康生活品质”的使命，致力于成为全球优秀的碳酸酯类产品和锂离子电池材料供应商及具有持续盈利能力和行业影响力的上市公司。
600378.SH,昊华科技,3425260.672722951,141656.2533651452,891459562.01,氟橡胶、工程塑料、含氟精细化学品、聚四氟乙烯树脂、天科股份变压吸附气体分离装置、天科股份二段转化催化剂、天科股份高纯度气体、天科股份工程承包、天科股份工程设计、天科股份工程咨询、天科股份环己酮、天科股份活性炭、天科股份甲醇、天科股份甲醇催化剂、天科股份三偏心硬密封蝶阀、天科股份碳分子筛、天科股份特种气体、天科股份脱硫剂、天科股份一段转化催化剂、天科股份专用手动截止阀、有机硅,催化剂及化学助剂、风泵机械、高分子聚合物、工业建筑、特种气体、有机化工原料、专业咨询服务,公司是经国家经贸委批准，以西南化工研究设计院为主要发起单位，并将变压吸附气体分离技术及成套装置、催化剂产品、碳一化学及工程设计等优良资产注入成立的股份制有限公司。公司主营碳一化学技术及催化剂的生产和销售，在气体分离、纯化应用领域居于世界前列。公司的变压吸附技术可从各种混合气及工业废气中回收提纯氢气、一氧化碳、二氧化碳等，该技术充分利用了有限的资源来生产有用的产品。公司的变压吸附技术具有操作简单、应用范围广、环保优势明显、市场潜力大等显著特点，现已在全国各地的化工、化肥、冶金、石油化工等行业进行推广，并出口印度尼西亚、巴基斯坦、以色列等国。2018年，公司收购晨光院、黎明院、西北院、光明院、曙光院、沈阳院、海化院、大连院、锦西院、株洲院和北方院100%股权，新增业务涵盖氟化工、聚氨酯功能材料、电子化学品、特种涂料以及橡胶制品等精细化工业务。
002407.SZ,多氟多,3336198.4207785903,2233272.628510373,1259706825.21,白炭黑、低分子比冰晶石、氟硅酸钠、氟化钡、氟化钾、氟化铝、氟化镁、氟化钠、氟化氢铵、氟铝酸钾、氟硼酸钾、氟钛酸钾、高分子比冰晶石、工业氢氟酸、无水氟化氢,无机化工原料,公司产品布局高性能无机氟化物、电子化学品、锂离子电池及材料、新能源汽车生产研发四大板块，是国家高新技术企业，国家创新型试点企业，国家技术创新示范企业。公司坚持科技创新，走出一条“技术专利化、专利标准化、标准国际化”的发展路线。公司主持制、修订了数十余项国家、行业标准，拥有国家认定企业技术中心、国家认可实验室、河南省含氟精细化学品工程实验室、河南省无机氟化学工程技术研究中心等研发平台，是全国有色金属标准样品定点研制单位、全国化学标准化委员会无机分会氟化盐工作组召集单位、国际ISO/TC226氟化盐工作组召集单位。
688256.SH,寒武纪-U,3211729.097129918,208945.90024066388,-824949409.11,Cambricon Neuware软件开发平台、寒武纪1A处理器、寒武纪1H处理器、寒武纪1M处理器、思元100（MLU100）芯片及云端智能加速卡、思元220（MLU220）芯片及边缘智能加速卡、思元270（MLU270）芯片及云端智能加速卡、思元290（MLU290）芯片及云端智能加速卡,电子元器件、运营平台系统,公司自成立以来一直专注于人工智能芯片产品的研发与技术创新，致力于打造人工智能领域的核心处理器芯片，让机器更好地理解和服务人类。公司核心人员在处理器芯片和人工智能领域深耕十余年，带领公司研发了智能处理器指令集与微架构等一系列自主创新关键技术。经过不断的研发积累，公司产品在行业内赢得高度认可，广泛应用于消费电子、数据中心、云计算等诸多场景。采用公司终端智能处理器IP的终端设备已出货过亿台；云端智能芯片及加速卡也已应用到国内主流服务器厂商的产品中，并已实现量产出货；边缘智能芯片及加速卡的发布标志着公司已形成全面覆盖云端、边缘端和终端场景的系列化智能芯片产品布局。
688521.SH,芯原股份-U,3136760.284941779,213987.32370954356,13292357.58,半导体IP授权服务、一站式芯片定制服务,电子元器件,公司是一家依托自主半导体IP，为客户提供平台化、全方位、一站式芯片定制服务和半导体IP授权服务的企业。公司拥有多种成熟的行业应用解决方案、优秀的芯片设计能力、丰富的芯片设计经验以及深厚的半导体IP储备，能够帮助客户高效率、高质量、低成本、低风险地完成芯片的设计实现和量产出货。通过芯原提供的服务，客户可集中精力运用自身在产品定义、系统架构、软件开发及市场营销等方面的优势，并借助芯原在芯片设计和量产优化等方面的优势，完善产品功能，提升产品性能。芯原服务水平和质量受到诸多国内外知名客户的认可，主要客户包括英特尔、博世、恩智浦、博通、新突思、美满电子、索喜科技、意法半导体、三星、瑞昱等全球半导体行业知名企业；Facebook、谷歌、亚马逊等全球大型互联网公司；华为、紫光展锐、瑞芯微、中兴通讯、大华股份、晶晨股份、和芯星通等众多国内知名企业。
688002.SH,睿创微纳,2823022.705081967,288306.9811659751,461180017.63,XCore LA系列机芯、XCore LT系列机芯、XCore Micro机芯、XCore Nano机芯、Xforest 系列 机芯、车载红外热成像仪系列、多功能手持望远镜、多功能头盔式热像仪、红外MEMS芯片、户外手持红外热成像仪系列、金属封装探测器系列、晶圆级封装探测器系列、融合式双光望远镜、陶瓷封装探测器系列、智能手机热像仪,半导体分立器件、电子测试和测量仪器、专用设备与零部件,公司是一家专业从事非制冷红外热成像与MEMS传感技术开发的集成电路芯片企业，致力于专用集成电路、MEMS传感器及红外成像产品的设计与制造。公司产品主要包括非制冷红外热成像MEMS芯片、红外热成像探测器、红外热成像机芯、红外热像仪及光电系统。公司目前已具备先进的集成电路设计、传感器设计、器件封测、图像算法开发、系统集成等研发与制造能力。公司产品主要应用于军用及民用领域，其中军用产品主要应用于夜视观瞄、精确制导、光电载荷以及军用车辆辅助驾驶系统等，民用产品广泛应用于安防监控、汽车辅助驾驶、户外运动、消费电子、工业测温、森林防火、医疗检测设备以及物联网等诸多领域。公司已拥有的全系列产品可以满足绝大部分军品及民品客户需求。
688200.SH,华峰测控,2798880.9567809016,284639.8298630705,438773193.33,V/I 源表测试模块、半导体自动化测试系统STS 8200系列、半导体自动化测试系统STS 8202系列、半导体自动化测试系统STS 8203系列、半导体自动化测试系统STS 8250系列、半导体自动化测试系统STS 8300系列、继电器控制测试模块、交流V/I 源表测试模块、时间测量测试模块、数字测量测试模块,通信系统与平台,"公司是国内最大的半导体测试机本土供应商，也是为数不多进入国际封测市场供应商体系的中国半导体设备厂商,主营业务为半导体自动化测试系统的研发、生产和销售，产品主要用于模拟及混合信号类集成电路的测试，产品销售区域覆盖中国大陆、中国台湾、美国、欧洲、日本、韩国等全球半导体产业发达的国家和地区,自成立以来，公司始终专注于半导体自动化测试系统领域，以其自主研发的产品实现了模拟及混合信号类集成电路自动化测试系统的进口替代。在普遍被国外设备垄断的半导体测试业，公司的测试机已占国内同类产品市场份额的50%，被国外知名IC厂商如TI，STM，Fairchild等考核通过，用于其产品在国内的量产，并已开始进入台湾、东南亚、及美国市场。目前，公司已在模拟器件测试、分立器件测试，数模混合系统测试方面，与美日测试设备公司在更高端的产品领域实现竞争。"
688608.SH,恒玄科技,2779893.4426229508,225953.1589087137,407716464.97,Type-C音频芯片、普通蓝牙音频芯片、智能蓝牙音频芯片,电声器件,公司是国际领先的智能音频SoC芯片设计企业之一，公司已成为全球智能音频SoC芯片领域的领先供应商，产品及技术能力获得客户广泛认可，是大陆地区少数可与高通、联发科等国际巨头竞争的芯片设计公司。公司已连续两年荣获EETimes评选的中国IC设计成就奖，同时是中国电子音响行业协会理事会常务理事单位。目前公司产品已进入全球主流安卓手机品牌，包括华为、三星、OPPO、小米及Moto等，同时在专业音频厂商中也占据重要地位，进入包括哈曼、JBL、AKG、SONY、Skullcandy、万魔及漫步者等一流品牌。
